id_usuario,nombre,handle,cod_tipo_usuario,verificado,seguidores,cod_pais,idioma_principal,Score_credibilidad
did:plc:vovinwhtulbsx4mwfw26r5ni,The Guardian,theguardian.com,news_ext,,687064,,,
did:plc:k5nskatzhyxersjilvtnz4lh,The Washington Post,washingtonpost.com,news_ext,,745275,,,
did:plc:uewxgchsjy4kmtu7dcxa77us,Bloomberg News,bloomberg.com,news_ext,,409539,,,
did:plc:eclio37ymobqex2ncko63h4r,The New York Times,nytimes.com,news_ext,,1161330,,,
did:plc:mhzk3blh4pfxo3fqh2meowbb,The Economist,economist.com,news_ext,,95632,,,
did:plc:sv2ivxvf7fxchmo2xamo3wwx,elDiario.es,eldiario.es,news_ext,,140275,,,
did:plc:u6mkbcgviwlbhuwqirmhcgu3,EL PAÍS,elpais.com,news_ext,,154508,,,
did:plc:ma7n4u3bhcyc5bznvk7fsgkh,La Vanguardia,lavanguardia.com,news_ext,,33571,,,
did:plc:nc7xtwsybnrft2kfr3cczs3f,Infobae,infobae.bsky.social,news_local,,3770,,,
did:plc:7n2qkmevmrkieobp2hqqphem,LA NACION,lanacioncom.bsky.social,news_local,,3104,,,
did:plc:tytyaq5llmtexm73nglnhsob,Clarín,diarioclarin.bsky.social,news_local,,83,,,
did:plc:uf6xe5actjzjqqglrr5fvu7j,Barchart,barchart.com,others,,5303,,,
did:plc:inz4fkbbp7ms3ixufw6xuvdi,WIRED ,wired.com,others,,315151,,,
did:plc:7l75ck5g4b5k6gxqaq5rejit,Unusual Whales,unusualwhales.bsky.social,others,,76461,,,
