post.uri,post.cid,post.author.did,post.author.handle,post.author.displayName,post.author.avatar,post.author.viewer.muted,post.author.viewer.blockedBy,post.author.labels,post.author.createdAt,post.record.$type,post.record.createdAt,post.record.embed.$type,post.record.embed.external.description,post.record.embed.external.thumb.$type,post.record.embed.external.thumb.ref.$link,post.record.embed.external.thumb.mimeType,post.record.embed.external.thumb.size,post.record.embed.external.title,post.record.embed.external.uri,post.record.facets,post.record.langs,post.record.text,post.embed.$type,post.embed.external.uri,post.embed.external.title,post.embed.external.description,post.embed.external.thumb,post.replyCount,post.repostCount,post.likeCount,post.quoteCount,post.indexedAt,post.viewer.threadMuted,post.viewer.embeddingDisabled,post.labels,reason.$type,reason.by.did,reason.by.handle,reason.by.displayName,reason.by.avatar,reason.by.viewer.muted,reason.by.viewer.blockedBy,reason.by.labels,reason.by.createdAt,reason.indexedAt,post.record.embed.images,post.embed.images,post.author.associated.chat.allowIncoming,post.record.embed.record.cid,post.record.embed.record.uri,post.embed.record.$type,post.embed.record.uri,post.embed.record.cid,post.embed.record.author.did,post.embed.record.author.handle,post.embed.record.author.displayName,post.embed.record.author.avatar,post.embed.record.author.viewer.muted,post.embed.record.author.viewer.blockedBy,post.embed.record.author.labels,post.embed.record.author.createdAt,post.embed.record.value.$type,post.embed.record.value.createdAt,post.embed.record.value.embed.$type,post.embed.record.value.embed.images,post.embed.record.value.facets,post.embed.record.value.langs,post.embed.record.value.text,post.embed.record.labels,post.embed.record.likeCount,post.embed.record.replyCount,post.embed.record.repostCount,post.embed.record.quoteCount,post.embed.record.indexedAt,post.embed.record.embeds
at://did:plc:uod7l6gktnbincngqypbi4zb/app.bsky.feed.post/3lmv3dkbzcs2z,bafyreicdenexenkk6wzko33bxpxgomtvtx4lei3v7ainlmkuqc37tyyz74,did:plc:uod7l6gktnbincngqypbi4zb,dsorennie.bsky.social,David Rennie,https://cdn.bsky.app/img/avatar/plain/did:plc:uod7l6gktnbincngqypbi4zb/bafkreihs4xndjdh6gvejdc3gcs2nnbvxg4i7d7qze2efhabjqe4jj25j3y@jpeg,False,False,[],2023-11-18T08:24:31.511Z,app.bsky.feed.post,2025-04-15T22:02:27.352Z,app.bsky.embed.external,"For all its strength and swagger, China is struggling to handle an impulsive America",blob,bafkreie22j5pmasz5zq7ssa62j5bm6cr7xfkjxidplv4prntunwmqathhi,image/jpeg,720886.0,Xi Jinping’s Trump-sized puzzle,https://economist.com/international/2025/04/15/xi-jinpings-trump-sized-puzzle,"[{'features': [{'$type': 'app.bsky.richtext.facet#link', 'uri': 'https://economist.com/international/2025/04/15/xi-jinpings-trump-sized-puzzle'}], 'index': {'byteEnd': 287, 'byteStart': 258}}]",['en'],"China has toughness and discipline on its side in its showdown with America. But the rigidity of China’s one-party system, and its horror of exposing Xi Jinping to embarrassment, makes dealing with Trumpian chaos a nightmare. My column, “The Telegram”
economist.com/internationa...
from The Economist",app.bsky.embed.external#view,https://economist.com/international/2025/04/15/xi-jinpings-trump-sized-puzzle,Xi Jinping’s Trump-sized puzzle,"For all its strength and swagger, China is struggling to handle an impulsive America",https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:uod7l6gktnbincngqypbi4zb/bafkreie22j5pmasz5zq7ssa62j5bm6cr7xfkjxidplv4prntunwmqathhi@jpeg,0,5,16,0,2025-04-15T22:02:29.691Z,False,False,[],app.bsky.feed.defs#reasonRepost,did:plc:mhzk3blh4pfxo3fqh2meowbb,economist.com,The Economist,https://cdn.bsky.app/img/avatar/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreihks2rloifplwgkbzn3dlnkud7bz2eaegnpn6qltfpnxxxot2mkuq@jpeg,False,False,[],2024-11-18T11:00:37.148Z,2025-04-15T22:09:51.183Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:j7eliwxzqpvvwu6jbxr5ggaf/app.bsky.feed.post/3lmsfz6egq22j,bafyreidtjgf5kmdztjjte26my5txvrsduj5wfppcg6phpwi5e232ixtq3q,did:plc:j7eliwxzqpvvwu6jbxr5ggaf,stevenmazie.bsky.social,Steven Mazie,https://cdn.bsky.app/img/avatar/plain/did:plc:j7eliwxzqpvvwu6jbxr5ggaf/bafkreicq6ojr7nynsqtd2zvuoio7vkakxmd7h3fbzifikqq2w5llbjh2xa@jpeg,False,False,[],2023-05-09T17:40:35.121Z,app.bsky.feed.post,2025-04-14T20:35:31.254Z,app.bsky.embed.external,A case that tests the president’s power to dismiss officials has implications for the central bank,blob,bafkreih6q4jq6g5rnzn7jpgaoinotbgndvtkaklkwhzuk4am5sz57plntu,image/jpeg,281573.0,Will the Supreme Court empower Trump to sack the Fed’s boss?,https://www.economist.com/united-states/2025/04/14/will-the-supreme-court-empower-trump-to-sack-the-feds-boss,"[{'$type': 'app.bsky.richtext.facet', 'features': [{'$type': 'app.bsky.richtext.facet#mention', 'did': 'did:plc:mhzk3blh4pfxo3fqh2meowbb'}], 'index': {'byteEnd': 140, 'byteStart': 126}}, {'$type': 'app.bsky.richtext.facet', 'features': [{'$type': 'app.bsky.richtext.facet#mention', 'did': 'did:plc:rrlh3iqoxdf2ngk543vggk3g'}], 'index': {'byteEnd': 192, 'byteStart': 167}}, {'$type': 'app.bsky.richtext.facet', 'features': [{'$type': 'app.bsky.richtext.facet#mention', 'did': 'did:plc:nwnlnixtjh3qhkwpz2uy5uwv'}], 'index': {'byteEnd': 220, 'byteStart': 195}}, {'features': [{'$type': 'app.bsky.richtext.facet#link', 'uri': 'https://www.economist.com/united-states/2025/04/14/will-the-supreme-court-empower-trump-to-sack-the-feds-boss'}], 'index': {'byteEnd': 270, 'byteStart': 237}}]",['en'],"The latest Trumplaw emergency at SCOTUS is about the president's power to remove agency officials. It's a big deal. Here's my @economist.com analysis w/ insights from @williambaude.bsky.social , @stevevladeck.bsky.social and Sai Prakash www.economist.com/united-state...",app.bsky.embed.external#view,https://www.economist.com/united-states/2025/04/14/will-the-supreme-court-empower-trump-to-sack-the-feds-boss,Will the Supreme Court empower Trump to sack the Fed’s boss?,A case that tests the president’s power to dismiss officials has implications for the central bank,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:j7eliwxzqpvvwu6jbxr5ggaf/bafkreih6q4jq6g5rnzn7jpgaoinotbgndvtkaklkwhzuk4am5sz57plntu@jpeg,2,17,36,0,2025-04-14T20:35:34.388Z,False,False,[],app.bsky.feed.defs#reasonRepost,did:plc:mhzk3blh4pfxo3fqh2meowbb,economist.com,The Economist,https://cdn.bsky.app/img/avatar/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreihks2rloifplwgkbzn3dlnkud7bz2eaegnpn6qltfpnxxxot2mkuq@jpeg,False,False,[],2024-11-18T11:00:37.148Z,2025-04-15T05:13:06.179Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:uod7l6gktnbincngqypbi4zb/app.bsky.feed.post/3lmk3b7ftms25,bafyreiarfpwocsw3ns7ekhv5qro4mzfm26lx4gsf6dgz2rgbv6rgopqtpa,did:plc:uod7l6gktnbincngqypbi4zb,dsorennie.bsky.social,David Rennie,https://cdn.bsky.app/img/avatar/plain/did:plc:uod7l6gktnbincngqypbi4zb/bafkreihs4xndjdh6gvejdc3gcs2nnbvxg4i7d7qze2efhabjqe4jj25j3y@jpeg,False,False,[],2023-11-18T08:24:31.511Z,app.bsky.feed.post,2025-04-11T13:01:51.719Z,app.bsky.embed.external,"Trade wars are alarming, but so are might-makes-right deals",blob,bafkreigop6c2kwxrziy5xi35i7hvm5dpdek2r62pi7r6hjuyyxkvb43fpq,image/jpeg,679028.0,The dangers of Donald Trump’s instinct for dealmaking,https://economist.com/international/2025/04/08/the-dangers-of-donald-trumps-instinct-for-dealmaking,"[{'features': [{'$type': 'app.bsky.richtext.facet#link', 'uri': 'https://economist.com/international/2025/04/08/the-dangers-of-donald-trumps-instinct-for-dealmaking'}], 'index': {'byteEnd': 278, 'byteStart': 249}}]",['en'],"Amid Donald Trump’s trade war tumult, lots of smart insiders in Washington, Beijing and other capitals still think he has ambitions to cut deals. And some of those deals could be hugely disruptive to the world order. My column, “The Telegram”
economist.com/internationa...
from The Economist",app.bsky.embed.external#view,https://economist.com/international/2025/04/08/the-dangers-of-donald-trumps-instinct-for-dealmaking,The dangers of Donald Trump’s instinct for dealmaking,"Trade wars are alarming, but so are might-makes-right deals",https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:uod7l6gktnbincngqypbi4zb/bafkreigop6c2kwxrziy5xi35i7hvm5dpdek2r62pi7r6hjuyyxkvb43fpq@jpeg,5,7,28,1,2025-04-11T13:01:53.189Z,False,False,[],app.bsky.feed.defs#reasonRepost,did:plc:mhzk3blh4pfxo3fqh2meowbb,economist.com,The Economist,https://cdn.bsky.app/img/avatar/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreihks2rloifplwgkbzn3dlnkud7bz2eaegnpn6qltfpnxxxot2mkuq@jpeg,False,False,[],2024-11-18T11:00:37.148Z,2025-04-11T13:11:49.580Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:luw7pcqimp4xchky7hdkvzvd/app.bsky.feed.post/3lmhmxmzdqs22,bafyreifrwedvi2zmqir6doyqzbqxcvevu4ib7aolm6hmil3uiblgngwupu,did:plc:luw7pcqimp4xchky7hdkvzvd,spignal.bsky.social,Stanley Pignal,https://cdn.bsky.app/img/avatar/plain/did:plc:luw7pcqimp4xchky7hdkvzvd/bafkreiae6i5e6twaakkftw72ga34d3trrr3wutoxzwslp7njkowj2csddy@jpeg,False,False,[],2023-10-04T17:00:05.622Z,app.bsky.feed.post,2025-04-10T13:40:38.580Z,app.bsky.embed.external,Europe’s very real problems don’t look so bad by comparison,blob,bafkreicslgnpw42rkpz4tgt22wx6hwbciwe2kfwutkv2cfv2hrxmjpcbzq,image/jpeg,472879.0,The thing about Europe: it’s the actual land of the free now,https://www.economist.com/europe/2025/04/10/the-thing-about-europe-its-the-actual-land-of-the-free-now,"[{'features': [{'$type': 'app.bsky.richtext.facet#link', 'uri': 'https://www.economist.com/europe/2025/04/10/the-thing-about-europe-its-the-actual-land-of-the-free-now'}], 'index': {'byteEnd': 231, 'byteStart': 198}}]",['en'],"The thing about Europe: it's the actual land of the free now.

Whatever problems Europe has - and it has plenty - it is looking pretty damn good by comparison these days.

My Charlemagne this week

www.economist.com/europe/2025/...",app.bsky.embed.external#view,https://www.economist.com/europe/2025/04/10/the-thing-about-europe-its-the-actual-land-of-the-free-now,The thing about Europe: it’s the actual land of the free now,Europe’s very real problems don’t look so bad by comparison,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:luw7pcqimp4xchky7hdkvzvd/bafkreicslgnpw42rkpz4tgt22wx6hwbciwe2kfwutkv2cfv2hrxmjpcbzq@jpeg,30,220,655,25,2025-04-10T13:40:42.481Z,False,False,[],app.bsky.feed.defs#reasonRepost,did:plc:mhzk3blh4pfxo3fqh2meowbb,economist.com,The Economist,https://cdn.bsky.app/img/avatar/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreihks2rloifplwgkbzn3dlnkud7bz2eaegnpn6qltfpnxxxot2mkuq@jpeg,False,False,[],2024-11-18T11:00:37.148Z,2025-04-10T13:43:09.585Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:mhzk3blh4pfxo3fqh2meowbb/app.bsky.feed.post/3lmhajjp3cc2t,bafyreidlth4khknmg2cyb6gde2ecijbysvihmipikzxkkey4z5el7p2f2y,did:plc:mhzk3blh4pfxo3fqh2meowbb,economist.com,The Economist,https://cdn.bsky.app/img/avatar/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreihks2rloifplwgkbzn3dlnkud7bz2eaegnpn6qltfpnxxxot2mkuq@jpeg,False,False,[],2024-11-18T11:00:37.148Z,app.bsky.feed.post,2025-04-10T09:58:00.396Z,app.bsky.embed.images,,,,,,,,"[{'features': [{'$type': 'app.bsky.richtext.facet#link', 'uri': 'https://econ.st/4i6Z4Vx'}], 'index': {'byteEnd': 259, 'byteStart': 244}}]",['en'],"Donald Trump has replaced the old certainties that underpinned the world economy with extraordinary levels of volatility and confusion.

Some of the chaos may have abated for now. But it will take a very long time to rebuild what has been lost econ.st/4i6Z4Vx",app.bsky.embed.images#view,,,,,18,69,198,9,2025-04-10T09:58:03.582Z,False,False,[],,,,,,,,,,,"[{'alt': '', 'aspectRatio': {'height': 1577, 'width': 1181}, 'image': {'$type': 'blob', 'ref': {'$link': 'bafkreida3br22q6ojoqbvc4dqnny2j5hxsuqmrrr7tvvi7lkm7vvrhoj7u'}, 'mimeType': 'image/jpeg', 'size': 689898}}]","[{'thumb': 'https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreida3br22q6ojoqbvc4dqnny2j5hxsuqmrrr7tvvi7lkm7vvrhoj7u@jpeg', 'fullsize': 'https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreida3br22q6ojoqbvc4dqnny2j5hxsuqmrrr7tvvi7lkm7vvrhoj7u@jpeg', 'alt': '', 'aspectRatio': {'height': 1577, 'width': 1181}}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:fidlfwaezwm2zmmszdfabgy2/app.bsky.feed.post/3lmcyjgrnuy2f,bafyreigsjtibe6bbj52xilexrd3zd7ktu2bvacdgfkhmlatfkdlwvxatn4,did:plc:fidlfwaezwm2zmmszdfabgy2,archiehall.bsky.social,Archie Hall,https://cdn.bsky.app/img/avatar/plain/did:plc:fidlfwaezwm2zmmszdfabgy2/bafkreic25qah6xbkwdduekek2y6wtj5kpnfztriopti5mygwnauijr4qli@jpeg,False,False,[],2023-11-21T08:06:50.899Z,app.bsky.feed.post,2025-04-08T17:24:08.437688Z,app.bsky.embed.images,,,,,,,,"[{'features': [{'$type': 'app.bsky.richtext.facet#link', 'uri': 'https://www.economist.com/britain/2025/04/08/britain-is-unusually-well-shielded-from-a-tariff-crash'}], 'index': {'byteEnd': 300, 'byteStart': 268}}]",['en'],"The rare good-ish news story on the British economy—why Britain is surprisingly well-insulated from a tariff crash, at least compared to most of its peers:

Part, but not all of the answer is in quite how much (un-tariffed) services dominate British exports.

Link: www.economist.com/britain/202...",app.bsky.embed.images#view,,,,,12,25,106,5,2025-04-08T17:24:09.217Z,False,False,[],app.bsky.feed.defs#reasonRepost,did:plc:mhzk3blh4pfxo3fqh2meowbb,economist.com,The Economist,https://cdn.bsky.app/img/avatar/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreihks2rloifplwgkbzn3dlnkud7bz2eaegnpn6qltfpnxxxot2mkuq@jpeg,False,False,[],2024-11-18T11:00:37.148Z,2025-04-08T17:28:29.489Z,"[{'alt': '', 'aspectRatio': {'height': 370, 'width': 360}, 'image': {'$type': 'blob', 'ref': {'$link': 'bafkreifdncm5dgxu3hkxvigiv3srf4xprjywyjhhu5swaa2xwjuce6lh2i'}, 'mimeType': 'image/png', 'size': 106345}}]","[{'thumb': 'https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:fidlfwaezwm2zmmszdfabgy2/bafkreifdncm5dgxu3hkxvigiv3srf4xprjywyjhhu5swaa2xwjuce6lh2i@jpeg', 'fullsize': 'https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:fidlfwaezwm2zmmszdfabgy2/bafkreifdncm5dgxu3hkxvigiv3srf4xprjywyjhhu5swaa2xwjuce6lh2i@jpeg', 'alt': '', 'aspectRatio': {'height': 370, 'width': 360}}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:oz6uf6xv7gcd7szf3krsp546/app.bsky.feed.post/3lm5qjzhfi227,bafyreie3ghjjnl6tl2yskhuupzgkjwugp6zlfrfyuoya56coaukre4rfcu,did:plc:oz6uf6xv7gcd7szf3krsp546,daniellaraz.bsky.social,Daniella Raz,https://cdn.bsky.app/img/avatar/plain/did:plc:oz6uf6xv7gcd7szf3krsp546/bafkreiauyv3nm2drdkfido5sfkb24nqzn2mijlaj25j3ovokdirkdmls6q@jpeg,False,False,[],2024-12-03T18:36:24.047Z,app.bsky.feed.post,2025-04-06T15:17:59.449Z,,,,,,,,,"[{'features': [{'$type': 'app.bsky.richtext.facet#link', 'uri': 'https://www.economist.com/united-states/2025/03/30/doge-comes-for-the-data-wonks'}], 'index': {'byteEnd': 298, 'byteStart': 265}}]",['en'],"DOGE’s cuts have put vital gov't data at risk. Amid the chaos of Trump’s second term, it’s easy to miss—but the federal surveys we use to understand everything from the economy to maternal mortality to healthcare costs are under threat. My piece this week: www.economist.com/united-state...",,,,,,3,23,62,1,2025-04-06T15:17:59.808Z,False,False,[],app.bsky.feed.defs#reasonRepost,did:plc:mhzk3blh4pfxo3fqh2meowbb,economist.com,The Economist,https://cdn.bsky.app/img/avatar/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreihks2rloifplwgkbzn3dlnkud7bz2eaegnpn6qltfpnxxxot2mkuq@jpeg,False,False,[],2024-11-18T11:00:37.148Z,2025-04-06T17:00:29.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:mhzk3blh4pfxo3fqh2meowbb/app.bsky.feed.post/3lm4pxu3inc2r,bafyreihybcmrgnoqinydnfag7otaeaawyamxxnojzk5jt63g5fvkx6kbw4,did:plc:mhzk3blh4pfxo3fqh2meowbb,economist.com,The Economist,https://cdn.bsky.app/img/avatar/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreihks2rloifplwgkbzn3dlnkud7bz2eaegnpn6qltfpnxxxot2mkuq@jpeg,False,False,[],2024-11-18T11:00:37.148Z,app.bsky.feed.post,2025-04-06T05:35:10.077Z,app.bsky.embed.images,,,,,,,,"[{'features': [{'$type': 'app.bsky.richtext.facet#link', 'uri': 'https://econ.st/3E4l0mp'}], 'index': {'byteEnd': 239, 'byteStart': 224}}]",['en'],"China has a big beautiful opportunity. Xi Jinping’s paranoid nationalism used to seem like dystopian hyperbole. Now that Donald Trump is committing such wanton self-harm and general destruction, it looks ahead of its time econ.st/3E4l0mp",app.bsky.embed.images#view,,,,,14,73,291,10,2025-04-06T05:35:13.003Z,False,False,[],,,,,,,,,,,"[{'alt': '', 'aspectRatio': {'height': 1577, 'width': 1181}, 'image': {'$type': 'blob', 'ref': {'$link': 'bafkreias5npgvv7p7ofvpysxcvxqep4qtlvf7bxqkr542j3aq25aahbacm'}, 'mimeType': 'image/jpeg', 'size': 344818}}]","[{'thumb': 'https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreias5npgvv7p7ofvpysxcvxqep4qtlvf7bxqkr542j3aq25aahbacm@jpeg', 'fullsize': 'https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreias5npgvv7p7ofvpysxcvxqep4qtlvf7bxqkr542j3aq25aahbacm@jpeg', 'alt': '', 'aspectRatio': {'height': 1577, 'width': 1181}}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:j7eliwxzqpvvwu6jbxr5ggaf/app.bsky.feed.post/3lm3x7ag36k2m,bafyreib5nf2mkhelghxzwm7vkqprxzjmwc7fms46scrjenplfb4hk3bohe,did:plc:j7eliwxzqpvvwu6jbxr5ggaf,stevenmazie.bsky.social,Steven Mazie,https://cdn.bsky.app/img/avatar/plain/did:plc:j7eliwxzqpvvwu6jbxr5ggaf/bafkreicq6ojr7nynsqtd2zvuoio7vkakxmd7h3fbzifikqq2w5llbjh2xa@jpeg,False,False,[],2023-05-09T17:40:35.121Z,app.bsky.feed.post,2025-04-05T22:11:54.362Z,app.bsky.embed.external,The president has drawn fire from some conservative legal scholars,blob,bafkreicc6dexrabb5iwfpmz5qlktf6dvzm7gzcs4wwxby4dxufjbddxppe,image/jpeg,440169.0,How Donald Trump’s tariffs will probably fare in court,https://www.economist.com/united-states/2025/04/05/how-donald-trumps-tariffs-will-probably-fare-in-court,"[{'$type': 'app.bsky.richtext.facet', 'features': [{'$type': 'app.bsky.richtext.facet#mention', 'did': 'did:plc:mhzk3blh4pfxo3fqh2meowbb'}], 'index': {'byteEnd': 194, 'byteStart': 180}}, {'$type': 'app.bsky.richtext.facet', 'features': [{'$type': 'app.bsky.richtext.facet#mention', 'did': 'did:plc:em4omai6lbqmg5chdsy76rz7'}], 'index': {'byteEnd': 235, 'byteStart': 215}}, {'features': [{'$type': 'app.bsky.richtext.facet#link', 'uri': 'https://www.economist.com/united-states/2025/04/05/how-donald-trumps-tariffs-will-probably-fare-in-court'}], 'index': {'byteEnd': 288, 'byteStart': 255}}]",['en'],"Get ready for a slew of lawsuits against Trump's tariffs. There's a strong case he does not have the authority to impose them. But there are wrinkles galore, explored in my latest @economist.com, with insights from @nbagley.bsky.social and Alan Morrison. www.economist.com/united-state...",app.bsky.embed.external#view,https://www.economist.com/united-states/2025/04/05/how-donald-trumps-tariffs-will-probably-fare-in-court,How Donald Trump’s tariffs will probably fare in court,The president has drawn fire from some conservative legal scholars,https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:j7eliwxzqpvvwu6jbxr5ggaf/bafkreicc6dexrabb5iwfpmz5qlktf6dvzm7gzcs4wwxby4dxufjbddxppe@jpeg,6,46,111,3,2025-04-05T22:11:56.122Z,False,False,[],app.bsky.feed.defs#reasonRepost,did:plc:mhzk3blh4pfxo3fqh2meowbb,economist.com,The Economist,https://cdn.bsky.app/img/avatar/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreihks2rloifplwgkbzn3dlnkud7bz2eaegnpn6qltfpnxxxot2mkuq@jpeg,False,False,[],2024-11-18T11:00:37.148Z,2025-04-06T05:30:28.103Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:5jxq665jzrekunbjdjgixupa/app.bsky.feed.post/3lly6myise22u,bafyreidejln562lpqhfdjtzyr4ceiiqyhmoa6ohz4g6h72y4ipmglcg2ee,did:plc:5jxq665jzrekunbjdjgixupa,owenwntr.bsky.social,Owen Winter,https://cdn.bsky.app/img/avatar/plain/did:plc:5jxq665jzrekunbjdjgixupa/bafkreicig4xrgtojs2fvk2tooh4d2iyobbimjjg24m2o2j52fywuysir2u@jpeg,False,False,[],2023-11-05T11:08:00.501Z,app.bsky.feed.post,2025-04-04T10:14:13.063Z,app.bsky.embed.images,,,,,,,,"[{'features': [{'$type': 'app.bsky.richtext.facet#link', 'uri': 'https://www.economist.com/interactive/2025-canada-election'}], 'index': {'byteEnd': 174, 'byteStart': 141}}]",['en'],"Our forecast of the Canadian election is live 📈🇨🇦

We give the Liberal Party an 83% chance of winning the most seats on 28th April

www.economist.com/interactive/...",app.bsky.embed.images#view,,,,,7,50,226,12,2025-04-04T10:14:15.106Z,False,False,[],app.bsky.feed.defs#reasonRepost,did:plc:mhzk3blh4pfxo3fqh2meowbb,economist.com,The Economist,https://cdn.bsky.app/img/avatar/plain/did:plc:mhzk3blh4pfxo3fqh2meowbb/bafkreihks2rloifplwgkbzn3dlnkud7bz2eaegnpn6qltfpnxxxot2mkuq@jpeg,False,False,[],2024-11-18T11:00:37.148Z,2025-04-04T10:48:01.310Z,"[{'alt': ""Screenshot of the forecast page, showing a time series of the Liberal Party's chances of winning the election rising from 4% in January to 83% today"", 'aspectRatio': {'height': 1236, 'width': 1392}, 'image': {'$type': 'blob', 'ref': {'$link': 'bafkreicbhguvpalgjgrm2d6sz65hcsw3rvbh7k2r7w2bcpwshsc2sz54bq'}, 'mimeType': 'image/jpeg', 'size': 257015}}]","[{'thumb': 'https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:5jxq665jzrekunbjdjgixupa/bafkreicbhguvpalgjgrm2d6sz65hcsw3rvbh7k2r7w2bcpwshsc2sz54bq@jpeg', 'fullsize': 'https://cdn.bsky.app/img/feed_fullsize/plain/did:plc:5jxq665jzrekunbjdjgixupa/bafkreicbhguvpalgjgrm2d6sz65hcsw3rvbh7k2r7w2bcpwshsc2sz54bq@jpeg', 'alt': ""Screenshot of the forecast page, showing a time series of the Liberal Party's chances of winning the election rising from 4% in January to 83% today"", 'aspectRatio': {'height': 1236, 'width': 1392}}]",following,,,,,,,,,,,,,,,,,,,,,,,,,,,
