id_cotizacion,id_empresa,fecha,precio_apertura,precio_cierre,precio_max,precio_min,volumen_operado,variacion_porcentaje
658,10,2023-01-02 03:00:00,13.05,13.5,13.5,13.05,9563.95,NAN
659,10,2023-01-03 03:00:00,13.5,13.2,13.5,12.55,38148.8,-2.22222222222222
660,10,2023-01-04 03:00:00,13.2,12.9,13.35,12.8,13887,-2.27272727272726
661,10,2023-01-05 03:00:00,13,13.15,13.15,12.9,24053.3,1.93798449612403
662,10,2023-01-06 03:00:00,12.95,13.3,13.3,12.8,44834.15,1.14068441064639
663,10,2023-01-09 03:00:00,13.45,13.5,13.75,13.2,111893.6,1.50375939849623
664,10,2023-01-10 03:00:00,13.65,13.35,13.85,13.1,6599.4,-1.11111111111112
665,10,2023-01-11 03:00:00,13.3,13.5,13.65,13.25,102789.35,1.12359550561798
666,10,2023-01-12 03:00:00,13.7,13.5,13.9,13.35,33455.35,"0"
667,10,2023-01-13 03:00:00,13.3,13.8,13.8,13.3,39275,2.22222222222224
668,10,2023-01-16 03:00:00,13.7,13.95,14,13.5,15374.55,1.08695652173911
669,10,2023-01-17 03:00:00,13.8,14.35,14.5,13.65,68885,2.86738351254481
670,10,2023-01-18 03:00:00,14.35,13.8,14.4,13.65,112065.25,-3.83275261324041
671,10,2023-01-19 03:00:00,13.95,13.8,14.35,13.6,138913.2,"0"
672,10,2023-01-20 03:00:00,14.3,14.2,14.35,13.95,86351.1,2.89855072463767
673,10,2023-01-23 03:00:00,13.9,14.45,14.85,13.9,80043.75,1.7605633802817
674,10,2023-01-24 03:00:00,14.5,14.5,14.9,14.15,48087.95,"0.34602076124568"
675,10,2023-01-25 03:00:00,14.75,14.65,14.75,14.3,56234,1.0344827586207
676,10,2023-01-26 03:00:00,14.95,14.75,15.1,14.6,60512.9,"0.682593856655278"
677,10,2023-01-27 03:00:00,14.8,15.2,15.2,14.8,59557.85,3.05084745762711
678,10,2023-01-30 03:00:00,14.9,14.9,15.45,14.8,46296.45,-1.97368421052631
679,10,2023-01-31 03:00:00,15.25,14.8,15.25,14.7,269914.41,-0.671140939597314
680,10,2023-02-01 03:00:00,14.8,15.15,15.25,14.55,161769.66,2.36486486486487
681,10,2023-02-02 03:00:00,15.35,15.4,15.7,14.9,283445.44,1.65016501650166
682,10,2023-02-03 03:00:00,15.3,15.95,16.25,14.75,278207.5,3.57142857142856
683,10,2023-02-06 03:00:00,15.95,15.7,16.2,15.5,26523.85,-1.56739811912225
684,10,2023-02-07 03:00:00,15.7,16,16.1,15.45,47218.9,1.91082802547771
685,10,2023-02-08 03:00:00,15.95,15.9,16,15.55,31258.05,-0.624999999999998
686,10,2023-02-09 03:00:00,16,15.9,16,15.6,61857.55,"0"
687,10,2023-02-10 03:00:00,15.75,15.7,15.85,15.5,24932.3,-1.25786163522014
688,10,2023-02-13 03:00:00,15.65,16,16,15.4,42644.95,1.91082802547771
689,10,2023-02-14 03:00:00,16.05,16,16.15,15.5,9811.75,"0"
690,10,2023-02-15 03:00:00,16,16,16.15,15.75,19737,"0"
691,10,2023-02-16 03:00:00,16,16.1,16.25,15.75,17155.55,"0.625000000000009"
692,10,2023-02-17 03:00:00,16,15.55,16,15.55,18120.05,-3.41614906832298
693,10,2023-02-22 03:00:00,15.45,15.6,15.95,15.15,23608.8,"0.321543408360125"
694,10,2023-02-23 03:00:00,15.6,15.2,15.95,14.85,117745.35,-2.56410256410257
695,10,2023-02-24 03:00:00,15.4,15.1,15.45,14.85,36428.8,-0.657894736842102
696,10,2023-02-27 03:00:00,15.25,15.7,15.75,14.85,36708.55,3.97350993377483
697,10,2023-02-28 03:00:00,15.6,15.5,15.65,14.9,77955.15,-1.27388535031847
698,10,2023-03-01 03:00:00,15.5,14.75,15.65,14.5,23245.15,-4.83870967741935
699,10,2023-03-02 03:00:00,14.75,14.65,15.4,14.55,67555.3,-0.677966101694916
700,10,2023-03-03 03:00:00,15.2,15.35,15.35,15,99856.2,4.77815699658704
701,10,2023-03-06 03:00:00,15.6,15.6,15.95,15.55,221300.34,1.62866449511401
702,10,2023-03-07 03:00:00,15.85,15.25,16,15.35,277295.25,-2.24358974358975
703,10,2023-03-08 03:00:00,15.5,15.8,15.8,15.5,159405.2,3.60655737704918
704,10,2023-03-09 03:00:00,15.55,15.75,15.9,15.5,47556.35,-0.316455696202533
705,10,2023-03-10 03:00:00,15.5,15.1,15.95,15.1,103000.05,-4.12698412698414
706,10,2023-03-13 03:00:00,15.2,15.75,15.9,15.2,49602.5,4.30463576158941
707,10,2023-03-14 03:00:00,16.05,15.8,16.2,15.5,67392.4,"0.317460317460316"
708,10,2023-03-15 03:00:00,15.95,15.7,16,15.3,48685.9,-0.632911392405078
709,10,2023-03-16 03:00:00,16,16,16.3,15.75,79601.95,1.91082802547771
710,10,2023-03-17 03:00:00,16.1,16.25,16.35,15.9,34953.95,1.5625
711,10,2023-03-20 03:00:00,16.3,16.5,16.5,15.75,53335.8,1.53846153846153
712,10,2023-03-21 03:00:00,16.5,16.8,16.8,16.2,90701.5,1.81818181818183
713,10,2023-03-22 03:00:00,16.75,16.55,16.95,16.35,121118.7,-1.48809523809523
714,10,2023-03-23 03:00:00,16.45,16.35,16.95,16.35,35721.85,-1.20845921450151
715,10,2023-03-27 03:00:00,16.35,16.5,16.95,16.2,67700.35,"0.917431192660545"
716,10,2023-03-28 03:00:00,16.7,16.2,16.7,15.95,93773,-1.81818181818182
717,10,2023-03-29 03:00:00,16.3,16.65,16.7,16.3,42913.2,2.77777777777777
718,10,2023-03-30 03:00:00,16.75,16.9,17.5,16.5,78682.9,1.5015015015015
719,10,2023-03-31 03:00:00,17,16.9,17.2,16.65,67516.4,"0"
720,10,2023-04-03 03:00:00,16.9,17,17.15,16.7,68822.65,"0.591715976331364"
721,10,2023-04-04 03:00:00,17.2,17,17.25,16.9,68360.55,"0"
722,10,2023-04-05 03:00:00,16.7,16.85,17.15,16.65,42718.15,-0.882352941176467
