id,id_nota,valoracion_llm,relevante_economia,AAPLD,DESPD,KOD,MELID,MSFTD,NVDAD,TEND,VISTD,XOMD
1,45885,neutral,1,,,,,,,1,,
2,45884,neutral,,,,,,,,,,
3,45883,negative,1,,,,,,,,,
4,45882,neutral,,,,,,,,,,
5,45881,neutral,,,,,,,,,,
6,45880,neutral,,,,,,,,,,
7,45879,neutral,,,,,,,,,,
8,45878,neutral,,,,,,,,,,
9,45877,neutral,,,,,,,,,,
10,45876,neutral,,,,,,,,,,
11,45875,neutral,,,,,,,,,,
12,45874,negative,,,,,,,1,,,
13,45873,neutral,,,,,,,,,,
14,45872,neutral,1,,,,,,,,,
15,45871,neutral,,,,,,,,,,
16,45870,neutral,,,,,,,,,,
17,45869,neutral,,,,,,,,,,
18,45868,neutral,,,,,,,,,,
19,45867,neutral,,,,,,,,,,
20,45866,negative,,,,,,,,,,
21,45865,neutral,,,,,,,,,,
22,45864,neutral,,,,,,,,,,
23,45863,neutral,,,,,,,,,,
24,45862,neutral,,,,,,,,,,
25,45861,neutral,,,,,,,,,,
26,45860,neutral,,,,,,,,,,
27,45859,negative,,,,,,,,,,
28,45858,neutral,,,,,,,,,,
29,45857,neutral,,,,,,,,,,
30,45856,neutral,,,,,,,,,,
31,45855,neutral,,,,,,,,,,
32,45854,positive,1,,,,,,,,1,
33,45853,neutral,,,,,,,,,,
34,45852,neutral,,,,,,,,,,
35,45851,neutral,,,,,,,,,,
36,45850,neutral,,,,,,,,,,
37,45849,neutral,,,,,,,,,,
38,45848,negative,1,1,,1,,,,,,
39,45847,negative,1,1,1,1,1,1,1,1,1,1
40,45846,negative,1,,,,,,,,,
41,45845,neutral,,,,,,,,,,
42,45844,neutral,,,,,,,,,,
43,45843,neutral,,,,,,,,,,
44,45842,neutral,,,,,,,,,,
45,45841,neutral,1,1,,,,,,,,
46,45840,neutral,,,,,,,,,,
47,45839,neutral,,,,,,,,,,
48,45838,neutral,1,,,,,,,,,
49,45837,neutral,,,,,,,,,,
50,45836,negative,,,,,,,,,,
51,45835,neutral,,,,,,,,,,
52,45834,neutral,,,,,,,,,,
53,45833,negative,1,,,,,,1,1,,
54,45832,neutral,1,,1,,,,,1,,
55,45831,neutral,,,,,,,,,,
56,45830,negative,,,,,,,,1,,
57,45829,neutral,,,,,,,,,,
58,45828,neutral,,,,,,,,,,
59,45827,neutral,,,,,,,,,,
60,45826,neutral,,,,,,,,,,
61,45825,neutral,,,,,,,,,,
62,45824,neutral,1,,,,,,,1,,
63,45823,neutral,,,,,,,,,,
64,45822,neutral,,,,,,,,,,
65,45821,neutral,,,,,,,,,,
66,45820,neutral,,,,,,,,,,
67,45819,negative,,,,,,,,,,
68,45818,neutral,,,,,,,,,,
69,45817,neutral,,,,,,,,,,
70,45816,negative,,,,,,,,,,
71,45815,neutral,,,,,,,,,,
72,45814,neutral,,,,,,,,,,
73,45813,neutral,,,,,,,,,,
74,45812,neutral,,,,,,,,,,
75,45811,neutral,,,,,,,,,,
76,45810,neutral,,,,,,,,,,
77,45809,neutral,,,,,,,,,,
78,45808,neutral,,,,,,,,,,
79,45807,neutral,,,,,,,,,,
80,45806,neutral,,,,,,,,,,
81,45805,neutral,1,,,,,,,,,
82,45804,neutral,,,,,,,,,,
83,45803,neutral,,,,,,,,,,
84,45802,neutral,,,,,,,,,,
85,45801,negative,,,,,,,,,,
86,45800,neutral,1,,,,,,,,,
87,45799,negative,1,,,,,,,,,
88,45798,neutral,,,,,,,,,,
89,45797,neutral,1,,,,,,,,,
90,45796,neutral,1,,,,,,,,,
91,45795,neutral,,,,,,,,,,
92,45794,neutral,1,,,,,,,,,
93,45793,neutral,,,,,,,,,,
94,45792,neutral,,,,,,,,,,
95,45791,neutral,,,,,,,,,,
96,45790,neutral,,,,,,,,,,
97,45789,neutral,,,,,,,,,,
98,45788,neutral,,,,,,,,,,
99,45787,neutral,,,,,,,,,,
100,45403,neutral,,,,,,,,,,
101,45382,neutral,,,,,,,,,,
102,45200,positive,1,,,,,,,,,
103,45786,neutral,,,,,,,,,,
104,45785,neutral,,,,,,,,,,
105,45784,neutral,,,,,,,,,,
