nombre_empresa,fecha_cotizacion,variacion_total_cotizacion,total_noticias_negativas,suma_score_sentimiento_negativas,total_noticias_positivas,suma_score_sentimiento_positivas
AAPLD,2023-01-02 03:00:00,"0.45","0",,"0",
AAPLD,2023-01-03 03:00:00,"-0.30","0",,"0",
AAPLD,2023-01-04 03:00:00,"-0.30","0",,"0",
AAPLD,2023-01-05 03:00:00,"0.15","0",,"0",
AAPLD,2023-01-06 03:00:00,"0.35","0",,"0",
AAPLD,2023-01-09 03:00:00,"0.05","0",,"0",
AAPLD,2023-01-10 03:00:00,"-0.30","0",,"0",
AAPLD,2023-01-11 03:00:00,"0.20","0",,"0",
AAPLD,2023-01-12 03:00:00,"-0.20","0",,"0",
AAPLD,2023-01-13 03:00:00,"0.50","0",,"0",
AAPLD,2023-01-16 03:00:00,"0.25","0",,"0",
AAPLD,2023-01-17 03:00:00,"0.55","0",,"0",
AAPLD,2023-01-18 03:00:00,-0.55,"0",,"0",
AAPLD,2023-01-19 03:00:00,-0.15,"0",,"0",
AAPLD,2023-01-20 03:00:00,"-0.10","0",,"0",
AAPLD,2023-01-23 03:00:00,"0.55","0",,"0",
AAPLD,2023-01-24 03:00:00,"0.00","0",,"0",
AAPLD,2023-01-25 03:00:00,"-0.10","0",,"0",
AAPLD,2023-01-26 03:00:00,"-0.20","0",,"0",
AAPLD,2023-01-27 03:00:00,"0.40","0",,"0",
AAPLD,2023-01-30 03:00:00,"0.00","0",,"0",
AAPLD,2023-01-31 03:00:00,-0.45,"0",,"0",
AAPLD,2023-02-01 03:00:00,"0.35","0",,"0",
AAPLD,2023-02-02 03:00:00,"0.05","0",,"0",
AAPLD,2023-02-03 03:00:00,"0.65","0",,"0",
AAPLD,2023-02-06 03:00:00,-0.25,"0",,"0",
AAPLD,2023-02-07 03:00:00,"0.30","0",,"0",
AAPLD,2023-02-08 03:00:00,-0.05,"0",,"0",
AAPLD,2023-02-09 03:00:00,"-0.10","0",,"0",
AAPLD,2023-02-10 03:00:00,-0.05,"0",,"0",
AAPLD,2023-02-13 03:00:00,"0.35","0",,"0",
AAPLD,2023-02-14 03:00:00,-0.05,"0",,"0",
AAPLD,2023-02-15 03:00:00,"0.00","0",,"0",
AAPLD,2023-02-16 03:00:00,"0.10","0",,"0",
AAPLD,2023-02-17 03:00:00,-0.45,"0",,"0",
AAPLD,2023-02-22 03:00:00,"0.15","0",,"0",
AAPLD,2023-02-23 03:00:00,"-0.40","0",,"0",
AAPLD,2023-02-24 03:00:00,"-0.30","0",,"0",
AAPLD,2023-02-27 03:00:00,"0.45","0",,"0",
AAPLD,2023-02-28 03:00:00,"-0.10","0",,"0",
AAPLD,2023-03-01 03:00:00,-0.75,"0",,"0",
AAPLD,2023-03-02 03:00:00,"-0.10","0",,"0",
AAPLD,2023-03-03 03:00:00,"0.15","0",,"0",
AAPLD,2023-03-06 03:00:00,"0.00","0",,"0",
AAPLD,2023-03-07 03:00:00,"-0.60","0",,"0",
AAPLD,2023-03-08 03:00:00,"0.30","0",,"0",
AAPLD,2023-03-09 03:00:00,"0.20","0",,"0",
AAPLD,2023-03-10 03:00:00,"-0.40","0",,"0",
AAPLD,2023-03-13 03:00:00,"0.55","0",,"0",
AAPLD,2023-03-14 03:00:00,-0.25,"0",,"0",
AAPLD,2023-03-15 03:00:00,-0.25,"0",,"0",
AAPLD,2023-03-16 03:00:00,"0.00","0",,"0",
AAPLD,2023-03-17 03:00:00,"0.15","0",,"0",
AAPLD,2023-03-20 03:00:00,"0.20","0",,"0",
AAPLD,2023-03-21 03:00:00,"0.30","0",,"0",
AAPLD,2023-03-22 03:00:00,"-0.20","0",,"0",
AAPLD,2023-03-23 03:00:00,"-0.10","0",,"0",
AAPLD,2023-03-27 03:00:00,"0.15","0",,"0",
AAPLD,2023-03-28 03:00:00,"-0.50","0",,"0",
AAPLD,2023-03-29 03:00:00,"0.35","0",,"0",
AAPLD,2023-03-30 03:00:00,"0.15","0",,"0",
AAPLD,2023-03-31 03:00:00,"-0.10","0",,"0",
AAPLD,2023-04-03 03:00:00,"0.10","0",,"0",
AAPLD,2023-04-04 03:00:00,"-0.20","0",,"0",
AAPLD,2023-04-05 03:00:00,"0.15","0",,"0",
AAPLD,2023-04-10 03:00:00,"0.20","0",,"0",
AAPLD,2023-04-11 03:00:00,"0.00","0",,"0",
AAPLD,2023-04-12 03:00:00,"-0.20","0",,"0",
AAPLD,2023-04-13 03:00:00,"0.30","0",,"0",
AAPLD,2023-04-14 03:00:00,-0.45,"0",,"0",
AAPLD,2023-04-17 03:00:00,"-0.30","0",,"0",
AAPLD,2023-04-18 03:00:00,"0.20","0",,"0",
